date,cpiTUITION,cpiALLITEMS,cpiENERGY,cpiHOUSING,cpiMEDICAL,cpiFOODBEV,cpiREC,cpiTRANSP,cpiEDUC,cpiAPPAREL
1/1/1984,104.8,102.1,100.2,101.4,104,101.9,.,102,.,101.5
2/1/1984,105.7,102.6,101.4,101.9,105,102.5,.,102.2,.,101.2
3/1/1984,107,102.9,101.4,102.1,105.2,102.8,.,102.9,.,101.3
4/1/1984,107.7,103.3,101.7,102.6,105.8,102.8,.,103.3,.,101.2
5/1/1984,108.4,103.5,101.6,103,106.2,102.6,.,103.7,.,101.4
6/1/1984,109.3,103.7,100.8,103.5,106.7,103,.,103.9,.,101.3
7/1/1984,110.2,104.1,100.5,104.1,107.2,103.2,.,103.7,.,101.9
8/1/1984,110.7,104.4,100.1,104.5,107.7,103.8,.,103.8,.,102.5
9/1/1984,112.3,104.7,100.6,105.1,108.1,103.7,.,104.1,.,102.7
10/1/1984,112.9,105.1,101.1,105.1,108.7,103.9,.,104.8,.,103
11/1/1984,113.7,105.3,100.8,105,109.3,104,.,104.9,.,103
12/1/1984,114.5,105.5,100.1,105.1,109.8,104.4,.,104.7,.,103.1
1/1/1985,115.3,105.7,100.3,105.3,110.2,104.5,.,105.1,.,103.2
2/1/1985,116.2,106.3,100.3,105.8,110.8,105,.,105.6,.,104.1
3/1/1985,116.9,106.8,101.3,106.1,111.4,105.4,.,106.3,.,104.5
4/1/1985,117.6,107,102.3,106.5,112,105.3,.,106.8,.,104.5
5/1/1985,118.4,107.2,102.2,107.3,112.6,105.1,.,106.5,.,104.4
6/1/1985,119.2,107.5,102.2,107.9,113.3,105.4,.,106.5,.,105.1
7/1/1985,120.2,107.7,102.2,108.3,113.9,105.4,.,106.6,.,105.2
8/1/1985,120.6,107.9,101.2,108.7,114.6,105.5,.,106.2,.,105.3
9/1/1985,121.9,108.1,101.2,108.9,115.2,105.7,.,106.2,.,105.5
10/1/1985,122.5,108.5,101.2,109.1,115.8,105.9,.,106.5,.,105.7
11/1/1985,123.5,109,101.8,109.3,116.5,106.5,.,107,.,106
12/1/1985,124.3,109.5,102.4,109.6,117.1,107.3,.,107.5,.,106.1
1/1/1986,125.1,109.9,102.6,109.9,118,107.5,.,108,.,106.1
2/1/1986,125.9,109.7,99.5,109.8,118.8,107.4,.,107,.,105.4
3/1/1986,126.7,109.1,92.6,109.9,119.7,107.6,.,103.6,.,105
4/1/1986,127.5,108.7,87.2,110.2,120.4,107.8,.,101,.,105
5/1/1986,128.3,109,87.2,110.4,121.2,108.2,.,101.4,.,104.9
6/1/1986,129,109.4,88.8,111.2,121.8,108.3,.,102.3,.,104.9
7/1/1986,129.7,109.5,85.6,111.3,122.5,109.1,.,101.1,.,105.5
8/1/1986,130.2,109.6,83.6,111.6,123.2,110,.,100.1,.,106.4
9/1/1986,132.4,110,84.4,112,124,110.1,.,100.6,.,106.9
10/1/1986,132.7,110.2,82.8,111.8,124.7,110.4,.,100.5,.,106.6
11/1/1986,133.4,110.4,82.1,111.4,125.5,111,.,100.8,.,106.9
12/1/1986,134.2,110.8,82.5,111.5,126.2,111.3,.,101.1,.,107.2
1/1/1987,135.4,111.4,85.4,112,126.7,111.9,.,102.6,.,108
2/1/1987,136.1,111.8,87.4,112.4,127.2,112.2,.,103.5,.,108.6
3/1/1987,137,112.2,87.6,112.8,127.8,112.4,.,103.8,.,109.2
4/1/1987,138,112.7,87.6,113.2,128.6,112.6,.,104.3,.,109.8
5/1/1987,138.9,113,87.1,113.6,129.2,113.2,.,104.4,.,110.3
6/1/1987,139.8,113.5,88.5,114.3,130,113.8,.,105.1,.,110.3
7/1/1987,140.7,113.8,89.2,114.7,130.6,113.7,.,105.9,.,110.3
8/1/1987,141.4,114.3,90.5,115.4,131.2,113.9,.,106.6,.,111
9/1/1987,141.4,114.7,90.3,115.6,131.9,114.4,.,106.9,.,111.6
10/1/1987,142.7,115,89.6,115.5,132.4,114.6,.,107,.,112.3
11/1/1987,143.6,115.4,90,115.5,133,114.7,.,107.3,.,113
12/1/1987,144.8,115.6,89.5,115.6,133.5,115.2,.,107.2,.,112.7
1/1/1988,145.5,116,88.8,116.2,134.4,115.6,.,107,.,113.2
2/1/1988,147,116.2,88.7,116.6,135.2,115.7,.,107,.,112.1
3/1/1988,147.8,116.5,88.4,117,135.8,115.9,.,107,.,113.4
4/1/1988,148.8,117.2,88.8,117.3,136.7,116.5,.,107.5,.,115.1
5/1/1988,149.7,117.5,88.5,117.7,137.6,116.9,.,107.9,.,115.1
6/1/1988,150.8,118,88.9,118.6,138.3,117.6,.,108.3,.,115.5
7/1/1988,151.5,118.5,89.4,119.1,139.1,118.8,.,108.8,.,115.9
8/1/1988,153.3,119,90.1,119.5,139.8,119.4,.,109.7,.,114.5
9/1/1988,153.2,119.5,89.8,119.9,140.5,120,.,109.9,.,116.3
10/1/1988,154,119.9,89.8,119.9,141.4,120.3,.,110,.,117.5
11/1/1988,155,120.3,89.8,119.9,142,120.5,.,110.2,.,117.7
12/1/1988,155.9,120.7,89.6,120.2,142.7,121,.,110.4,.,118.2
1/1/1989,157.1,121.2,90.3,120.7,143.8,121.5,.,110.9,.,118.4
2/1/1989,158.1,121.6,90.8,121.1,144.9,122.3,.,111.7,.,117.1
3/1/1989,159.2,122.2,91.8,121.5,145.8,123.1,.,112.4,.,118.1
4/1/1989,160.1,123.1,96.6,121.6,146.6,123.7,.,115,.,118.6
5/1/1989,161.1,123.7,97.4,122.1,147.5,124.6,.,115.8,.,118.9
6/1/1989,161.8,124.1,96.9,122.9,148.6,124.9,.,115.7,.,118.7
7/1/1989,162.9,124.5,96.7,123.9,149.6,125.4,.,115.4,.,118.3
8/1/1989,164.3,124.5,94.9,124.2,150.6,125.7,.,114.5,.,117.1
9/1/1989,165.4,124.8,93.8,124.3,151.8,126.1,.,113.9,.,118.7
10/1/1989,166.4,125.4,94.4,124.4,152.8,126.7,.,114.5,.,119.6
11/1/1989,167.4,125.9,93.9,124.5,154.1,127.2,.,114.4,.,120
12/1/1989,168.3,126.3,94.2,124.9,154.9,127.7,.,114.7,.,119.8
1/1/1990,169.5,127.5,98.9,125.9,156,129.4,.,117,.,119.9
2/1/1990,170.5,128,98.2,126.1,157.1,130.5,.,117.2,.,122
3/1/1990,171.5,128.6,97.6,126.8,158.3,130.7,.,117.3,.,123.8
4/1/1990,172.6,128.9,97.5,126.8,159.6,130.6,.,117.7,.,124.1
5/1/1990,174,129.1,96.7,127.1,160.8,130.9,.,117.5,.,124
6/1/1990,175,129.9,97.3,128.3,162,131.8,.,118,.,124.2
7/1/1990,176.5,130.5,97.1,129.2,163.4,132.5,.,118.5,.,124.2
8/1/1990,178.4,131.6,101.6,130.2,164.8,132.9,.,120.7,.,124.5
9/1/1990,178.4,132.5,106.5,130.5,165.9,133.3,.,123.2,.,125.4
10/1/1990,179.5,133.4,110.8,130.6,167.3,133.8,.,125.6,.,125.4
11/1/1990,180.6,133.7,111.2,130.4,168.7,134.2,.,126.1,.,125.4
12/1/1990,181.8,134.2,111,130.5,169.8,134.3,.,126.9,.,126.2
1/1/1991,183.5,134.7,108.5,131.8,171,135.2,.,125.5,.,126.9
2/1/1991,184.9,134.8,104.5,132.4,172.1,135.7,.,123.9,.,127.3
3/1/1991,186.2,134.8,101.9,132.6,173.2,135.9,.,122.7,.,127
4/1/1991,187.5,135.1,101.2,132.5,174.3,136.6,.,122.5,.,127.5
5/1/1991,188.7,135.6,102.1,132.8,175.2,137.1,.,123.2,.,128
6/1/1991,190,136,101.1,133.4,176.4,137.8,.,123.4,.,127.9
7/1/1991,191.4,136.2,100.7,134.2,177.4,137.2,.,123.3,.,128.7
8/1/1991,192.1,136.6,101.1,134.5,178.8,136.8,.,124,.,129.9
9/1/1991,196.5,137,101.5,134.7,179.9,137,.,124.1,.,130
10/1/1991,197.3,137.2,101.6,134.7,180.9,136.9,.,123.9,.,130.1
11/1/1991,198.4,137.8,102.4,134.7,181.9,137.4,.,124.5,.,131
12/1/1991,199.6,138.2,103.1,135,183.1,137.6,.,125.1,.,130.7
1/1/1992,200.7,138.3,101.5,135.7,184.3,137.3,.,124.6,.,130.9
2/1/1992,201.9,138.6,101.2,136.1,185.6,137.8,.,124.5,.,131
3/1/1992,203.5,139.1,101.2,136.6,186.8,138.3,.,125,.,131.3
4/1/1992,205,139.4,101.4,136.5,187.9,138.2,.,125.6,.,130.7
5/1/1992,206.3,139.7,102,136.7,188.7,138.1,.,125.9,.,131.6
6/1/1992,207.8,140.1,103.3,137.7,189.6,138.4,.,126.4,.,132.1
7/1/1992,208.8,140.5,103.7,138.3,190.6,138.3,.,126.9,.,132.7
8/1/1992,210,140.8,103.5,138.6,191.5,139.1,.,127,.,132.3
9/1/1992,212.1,141.1,103.6,138.4,192.4,139.7,.,127,.,132.2
10/1/1992,213.7,141.7,104.3,138.5,193.5,139.7,.,128.1,.,132.5
11/1/1992,215,142.1,105.1,138.5,194.5,139.6,.,128.7,.,132.7
12/1/1992,216.7,142.3,105.3,138.5,195.3,139.6,.,128.9,.,132.8
1/1/1993,218.3,142.8,105,139.3,196.4,140,89.7,129.2,84.1,132.8
2/1/1993,219.6,143.1,104.3,139.7,197.4,140.4,90,129.6,84.3,134
3/1/1993,220.9,143.3,104.9,140.2,198.1,140.4,90.4,129.4,84.6,134
4/1/1993,222.2,143.8,104.9,140.4,199.1,140.8,90.7,129.6,84.8,134
5/1/1993,223.4,144.2,104.3,140.5,200.5,141.7,90.3,129.9,85.2,133.5
6/1/1993,224.8,144.3,103.9,141.5,201.3,141.4,90.6,129.9,85.4,133
7/1/1993,226,144.5,103.4,141.9,202.2,141.4,90.6,130.1,85.6,132.8
8/1/1993,227,144.8,103.4,142.3,202.8,141.9,90.9,130.5,86,134
9/1/1993,228.5,145,103,142.3,203.6,142.1,91.3,130.4,86.3,133.7
10/1/1993,229.6,145.6,105.3,142.2,204.5,142.7,91.7,132,86.5,133.8
11/1/1993,231,146,104.4,142,205.1,143,91.9,132.2,86.8,134.4
12/1/1993,232.2,146.3,103.7,142.3,205.8,143.5,92,132.1,87.2,134.1
1/1/1994,233.4,146.3,102.8,142.9,206.4,143.6,92.3,131.7,87.3,133.3
2/1/1994,234.6,146.7,104.1,143.7,207.2,143.4,92.5,132.3,87.9,133.2
3/1/1994,235.8,147.1,104.3,144.1,207.9,143.4,92.7,132.6,88.1,133.8
4/1/1994,236.9,147.2,103.7,143.9,209,143.7,92.7,132.8,88.3,133.5
5/1/1994,238.3,147.5,102.8,144.1,209.7,144,92.8,132.4,88.6,134
6/1/1994,239.5,147.9,103.1,144.9,210.5,144.4,92.7,133.2,88.9,134.8
7/1/1994,240.5,148.4,104.5,145.4,211.3,145.2,92.8,134.4,89.1,134.2
8/1/1994,241.6,149,106.7,145.9,212.2,145.6,92.7,136,89.3,133.2
9/1/1994,242.6,149.3,106.1,145.8,213.1,145.8,92.9,136.1,89.4,133.6
10/1/1994,243.8,149.4,105.7,145.7,214.1,145.8,93,136.2,89.6,133
11/1/1994,245,149.8,106.1,145.5,215,146.2,93.4,136.7,89.8,132.5
12/1/1994,246.1,150.1,105.9,145.4,215.9,147.2,93.2,137.1,90.1,132.1
1/1/1995,247.3,150.5,105.7,146.4,216.6,147.2,93.7,137.4,91.1,132.2
2/1/1995,249.1,150.9,105.8,147,217.4,147.7,93.9,137.9,91.2,131.9
3/1/1995,250.1,151.2,105.5,147.4,218.1,147.5,94,138.4,91.3,132.2
4/1/1995,251,151.8,105.6,147.4,218.6,148.5,94.4,139.2,91.6,131.9
5/1/1995,252,152.1,105.8,147.6,219.2,148.7,94.6,139.7,91.7,131.6
6/1/1995,253,152.4,106.7,148.5,219.9,148.8,94.3,140.6,92.1,131.3
7/1/1995,254.2,152.6,105.8,149.2,220.6,149,94.4,139.9,92.3,131.4
8/1/1995,255.6,152.9,105.6,149.6,221.6,149.1,94.7,139.4,92.5,132.5
9/1/1995,256.8,153.1,104.1,149.5,222.4,149.6,95.1,139.1,92.9,132.3
10/1/1995,257.8,153.5,104.4,149.7,223,150,95.3,139.5,93.1,132.4
11/1/1995,259,153.7,103.4,149.4,223.7,150,95.7,139.1,93.3,132
12/1/1995,260.1,153.9,104.4,149.7,224.3,150.3,95.8,139.1,93.7,132.2
1/1/1996,261.2,154.7,106.9,150.6,225.2,150.8,96.2,140.4,93.9,132.7
2/1/1996,262.4,155,107.1,151.2,225.7,151.2,96.9,140.9,94.2,132.2
3/1/1996,263.4,155.5,108.3,151.7,226.2,151.9,97,141.5,94.6,132.6
4/1/1996,264.8,156.1,111.2,151.8,226.8,152.5,97.2,142.9,94.3,131.8
5/1/1996,265.7,156.4,112,152,227.4,152.4,97.3,143.5,95,131.8
6/1/1996,266.7,156.7,110.3,152.7,228,153.3,97.4,143.4,95.3,131.6
7/1/1996,267.8,157,110.1,153.6,228.6,153.8,97.6,143,95.6,131.3
8/1/1996,268.7,157.2,109.7,154,229.1,154.3,97.7,143,95.8,130.6
9/1/1996,269.6,157.7,109.8,153.9,229.7,155,98,143.6,96.1,131.3
10/1/1996,270.7,158.2,110.5,154,230.3,155.9,98.2,143.9,96.4,131.3
11/1/1996,271.8,158.7,111.8,153.9,231,156.4,98.6,144.6,96.6,131.6
12/1/1996,272.9,159.1,113.9,154,231.2,156.6,98.7,145.7,96.9,131.9
1/1/1997,274.1,159.4,115.2,155.1,231.8,156.3,98.9,145.6,97.2,132.3
2/1/1997,275.1,159.7,115,155.8,232.2,156.9,99.3,145.2,97.4,133
3/1/1997,276.1,159.8,113,155.9,233,157,99.5,145,97.7,132.4
4/1/1997,277.1,159.9,111,155.8,233.5,157,99.4,144.3,97.9,133
5/1/1997,278.5,159.9,108.8,155.9,234.1,157.1,99.5,143.3,98.2,133.3
6/1/1997,279.6,160.2,110,156.9,234.4,157.4,99.9,143.6,98.5,133.1
7/1/1997,280.7,160.4,109.1,157.5,234.7,157.7,99.9,143.3,98.7,133.3
8/1/1997,282.1,160.8,110.9,157.6,235.1,158.2,100.1,144.1,98.7,132.7
9/1/1997,283.5,161.2,112.4,157.7,235.5,158.4,100.1,144.8,99,132.9
10/1/1997,284.7,161.5,111.8,157.7,236.1,158.7,100.2,144.7,99.3,132.7
11/1/1997,285.8,161.7,111.4,157.7,236.9,159,100.2,143.9,99.5,132.7
12/1/1997,287.1,161.8,109.8,157.7,237.8,159.2,100.2,143.7,99.8,133
1/1/1998,288.3,162,107.5,158.3,238.1,159.9,100.4,143,99.8,133.1
2/1/1998,289.1,162,105.1,158.8,238.8,159.9,100.6,142.4,99.7,133
3/1/1998,290.4,162,103.3,159.2,239.4,160.1,100.9,141.5,100,132.7
4/1/1998,291.8,162.2,102.4,159.5,240.3,160.2,100.9,140.9,100.2,132.3
5/1/1998,293.2,162.6,103.2,159.7,241.2,160.7,100.9,141.2,100.5,132.7
6/1/1998,293.9,162.8,103.6,160.6,241.8,160.6,101.1,141.4,100.6,133.3
7/1/1998,294.9,163.2,103.3,161.2,242.5,161,101,141.7,100.6,133.5
8/1/1998,295.9,163.4,102.1,161.5,243.3,161.4,101.2,141.6,100.1,135.1
9/1/1998,296.8,163.5,101.3,161.5,244.1,161.5,101.5,141.2,100.3,133.1
10/1/1998,297.7,163.9,101.5,161.4,244.8,162.4,101.3,141.4,100.4,132.7
