"National Center for Education Statistics"

"Variance estimation method: BRR"

"Primary job: Annualized salary, 2012 (average) with zeros, Dependent parent income (average) with zeros and Dependent student income (average) with zeros by Field of study: undergraduate (10 categories). "

"","Primary job: Annualized salary, 2012","Dependent parent income","Dependent student income"
"","( Average )","( Average )","( Average )"
"ESTIMATES"
"Total","41538.8928","98679.1927","5887.8455"
"Field of study: undergraduate (10 categories)"
"Undeclared","‡","‡","‡"
"Computer and information sciences","59772.4490","94331.5650","7586.9214"
"Engineering and engineering technology","64003.0545","104099.0478","7202.3230"
"Bio and phys science, sci tech, math, agriculture","36186.9792","94027.7222","5100.0920"
"General studies and other","42391.2515","98698.5728","4537.5343"
"Social Sciences","35761.4755","99749.0735","5729.2404"
"Humanities","31510.0162","101422.6672","4652.6549"
"Health care fields","47156.7567","92679.1619","5769.0652"
"Business","47777.0480","103381.4012","6705.8599"
"Education","34966.7138","91396.8637","5594.3957"
"Other Applied","36362.1028","95078.0667","6087.6313"

"STANDARD ERRORS (BRR)"
"Total","403.81110","1198.40192","116.33467"
"Field of study: undergraduate (10 categories)"
"Undeclared","‡","‡","‡"
"Computer and information sciences","3171.55847","6394.41137","933.47643"
"Engineering and engineering technology","2404.01146","5987.06482","426.08299"
"Bio and phys science, sci tech, math, agriculture","1310.57752","2702.67221","342.98183"
"General studies and other","3876.42703","7502.63226","418.98172"
"Social Sciences","704.12124","2592.71710","251.60302"
"Humanities","976.59717","3120.66274","306.45002"
"Health care fields","1325.83204","5391.17566","342.73060"
"Business","985.94906","2905.18204","280.76833"
"Education","964.47524","3465.68516","276.90406"
"Other Applied","755.04686","3091.70030","249.28975"

"RELATIVE STANDARD ERRORS (%)"
"Total","0.97213","1.21444","1.97584"
"Field of study: undergraduate (10 categories)"
"Undeclared","‡","‡","‡"
"Computer and information sciences","5.30605","6.77866","12.30376"
"Engineering and engineering technology","3.75609","5.75132","5.91591"
"Bio and phys science, sci tech, math, agriculture","3.62168","2.87434","6.72501"
"General studies and other","9.14440","7.60156","9.23369"
"Social Sciences","1.96894","2.59924","4.39156"
"Humanities","3.09932","3.07689","6.58656"
"Health care fields","2.81154","5.81703","5.94083"
"Business","2.06365","2.81016","4.18691"
"Education","2.75827","3.79191","4.94967"
"Other Applied","2.07647","3.25175","4.09502"

"WEIGHTED SAMPLE SIZES"
"Total","1662275","1016897","1016897"
"Field of study: undergraduate (10 categories)"
"Undeclared","‡","‡","‡"
"Computer and information sciences","48201","21023","21023"
"Engineering and engineering technology","97986","66545","66545"
"Bio and phys science, sci tech, math, agriculture","121238","87892","87892"
"General studies and other","49264","25346","25346"
"Social Sciences","251982","176171","176171"
"Humanities","196537","137628","137628"
"Health care fields","124107","56337","56337"
"Business","389253","217373","217373"
"Education","136466","78219","78219"
"Other Applied","246925","150365","150365"

"CONFIDENCE INTERVALS"
"","Primary job: Annualized salary, 2012","","Dependent parent income","","Dependent student income"
"","( Average )","","( Average )","","( Average )"
"","Amount","95% Confidence Interval","Amount","95% Confidence Interval","Amount","95% Confidence Interval"
"Total","41538.8928","40,747.42 - 42,330.36","98679.1927","96,330.32 - 101,028.06","5887.8455","5,659.83 - 6,115.86"
"Field of study: undergraduate (10 categories)"
"Undeclared","‡","‡","‡","‡","‡","‡"
"Computer and information sciences","59772.4490","53,556.19 - 65,988.70","94331.5650","81,798.52 - 106,864.61","7586.9214","5,757.31 - 9,416.54"
"Engineering and engineering technology","64003.0545","59,291.19 - 68,714.92","104099.0478","92,364.40 - 115,833.69","7202.3230","6,367.20 - 8,037.45"
"Bio and phys science, sci tech, math, agriculture","36186.9792","33,618.25 - 38,755.71","94027.7222","88,730.48 - 99,324.96","5100.0920","4,427.85 - 5,772.34"
"General studies and other","42391.2515","34,793.45 - 49,989.05","98698.5728","83,993.41 - 113,403.73","4537.5343","3,716.33 - 5,358.74"
"Social Sciences","35761.4755","34,381.40 - 37,141.55","99749.0735","94,667.35 - 104,830.80","5729.2404","5,236.10 - 6,222.38"
"Humanities","31510.0162","29,595.89 - 33,424.15","101422.6672","95,306.17 - 107,539.17","4652.6549","4,052.01 - 5,253.30"
"Health care fields","47156.7567","44,558.13 - 49,755.39","92679.1619","82,112.46 - 103,245.87","5769.0652","5,097.31 - 6,440.82"
"Business","47777.0480","45,844.59 - 49,709.51","103381.4012","97,687.24 - 109,075.56","6705.8599","6,155.55 - 7,256.17"
"Education","34966.7138","33,076.34 - 36,857.09","91396.8637","84,604.12 - 98,189.61","5594.3957","5,051.66 - 6,137.13"
"Other Applied","36362.1028","34,882.21 - 37,841.99","95078.0667","89,018.33 - 101,137.80","6087.6313","5,599.02 - 6,576.24"

"‡ Reporting standards not met"

"The names of the variables used in this table are: B2CJSAL, DEPINC, DSTUINC, and  MAJORS4Y. The variable names are unique identifiers. To locate these variables, enter the variable name in the search box."

"The weight variable used to calculate the data is WTD000"

"Source: U.S. Department of Education, National Center for Education Statistics, Baccalaureate and Beyond: 2008/2018 (B&B)."

"Computation by NCES PowerStats on 10/18/2022 at 16:54:17 UTC."

"The table number to retrieve results is pvcrlp"
